date,portfolio_return,ic
2022-04-14,0.019638265904465265,0.15744909016370365
2022-04-18,-0.0026153228017519407,0.005888454586085833
2022-04-19,-0.038200079146330355,-0.20367636995161867
2022-04-20,-0.011342102814815893,-0.2722736256367556
2022-04-21,0.009351803436954846,-0.374328405301239
2022-04-22,-0.08422005817334124,-0.353001852675231
2022-04-25,-0.009112883178595845,-0.29750361768626954
2022-04-26,-0.0002773713613003311,-0.05283378563326107
2022-04-27,-0.03862336235427855,-0.1274748497685227
2022-04-28,0.029258280287075937,0.010588418089758175
2022-04-29,0.004654803394504988,-0.026842589213140807
2022-05-02,0.004219054991805897,0.02687918058597584
2022-05-03,-0.04860486984290244,0.21042533431711405
2022-05-04,-0.06627347737891208,0.11568044623638792
2022-05-05,-0.08914102953326627,0.0037677143024424115
2022-05-06,0.0026995803886306342,-0.1809327609614873
2022-05-09,-0.11053582798498507,-0.1133803422685201
2022-05-10,0.020460418596471047,0.038032069908566155
2022-05-11,0.014214267518756126,0.19448501348339164
2022-05-12,-0.010253824170376503,0.30526461237845365
2022-05-13,0.05807922994467685,0.14568781450758134
2022-05-16,-0.022886796915905526,0.2423313028009883
2022-05-17,0.016505047317626875,0.11711243544040548
2022-05-18,0.001162758444483342,-0.11002761648047187
2022-05-19,-0.00535958013680754,0.012273552971101344
2022-05-20,-0.025930418950434523,-0.01972561557265706
2022-05-23,0.023012267216563582,0.1722121788149547
2022-05-24,0.02346817942547111,-0.10693457667236089
2022-05-25,0.04912731389151248,-0.0014383553583071917
2022-05-26,-0.0028940335150017776,0.07568032278048836
2022-05-27,0.004093326096530861,-0.012278982661227502
2022-05-31,0.019204654430553372,-0.09517036054691409
2022-06-01,-0.011007958909779207,-0.17304332474175657
2022-06-02,0.007407815202583526,-0.11525906058784118
2022-06-03,0.049793480676906574,0.07919852426678224
2022-06-06,-0.0062962046786460436,0.046956733326639445
2022-06-07,-0.040932228316066466,-0.04811280054964911
2022-06-08,-0.038187780852021534,-0.114915999076977
2022-06-09,0.28541379998418764,0.01754444330870832
2022-06-10,0.02849922069513092,0.06516816624042535
2022-06-13,0.06220081571553109,0.35915341158684294
