test_start,test_end,n_days,regime,regime_reversed_within,sharpe_gross,sharpe_moderate,carhart_alpha_daily,carhart_alpha_tstat,ic_mean,ic_tstat,max_drawdown,turnover,cumulative_return
2022-03-01,2023-03-01,252,flat,True,0.6485210448785169,0.6206223741106778,0.0008649518864138393,0.6643482120551201,-0.019369073054084564,-1.7141826750989382,-0.18069504092670383,0.7075697211155378,0.1840637208667124
2022-03-30,2023-03-30,252,flat,True,1.219607910856409,1.197383141865986,0.0020563484839188255,1.219819474889896,-0.014324239947578957,-1.3598253652366579,-0.18069504092670435,0.699601593625498,0.5734406963723835
2022-04-29,2023-05-01,252,flat,True,1.6227135372473416,1.6001393768846228,0.002762241633656564,1.6530713174383653,-0.007376240966185557,-0.6959388831755005,-0.1574923569058067,0.6996015936254979,0.8704797040732275
2022-05-31,2023-05-31,252,flat,True,1.6638450351817724,1.6407901430975278,0.0028811267176516676,1.6585272537475306,-0.017673640202493054,-1.6451286941290342,-0.15749235690580687,0.7147410358565738,0.8834840191286837
2022-06-30,2023-06-30,252,flat,True,1.798239284715539,1.7751756101773257,0.0030726334206957074,1.837986144043666,-0.014984255068237714,-1.4578472469230395,-0.15749235690580624,0.7227091633466135,0.9954856708040571
2022-08-01,2023-08-01,252,flat,True,1.2595787176914621,1.2364213538452495,0.0020333817556273223,1.229738959010027,-0.0034381247830070553,-0.35006440359329793,-0.16486346687935682,0.7330677290836654,0.5782993547436228
2022-08-30,2023-08-30,252,flat,True,1.180118602017946,1.1567776098787232,0.001859920759238586,1.1093722936302735,-0.00191386280670786,-0.19336470387843394,-0.23483378810184335,0.7243027888446215,0.521282134822747
2022-09-29,2023-09-29,252,flat,True,0.887629161997268,0.8629139761973195,0.0012283417403336366,0.7692253776474074,0.0009017414647699566,0.09077173296844315,-0.2694906385155304,0.7322709163346613,0.32665467883584554
2022-10-28,2023-10-30,252,flat,True,0.25431394094621534,0.22959859289933685,0.00020546707766896125,0.12424260471666176,-0.005276867082035483,-0.5395515614096833,-0.33640327283878574,0.7298804780876493,0.02693901377515684
2022-11-29,2023-11-29,252,flat,True,0.8134335476201413,0.7889619176760795,0.0011688208963579615,0.6818554237319379,0.001673095425050199,0.18953349767573602,-0.3364032728387863,0.7266932270916334,0.29002284291010194
2022-12-29,2023-12-29,252,flat,True,1.0601707233160174,1.0368078083276469,0.0016571039382977987,0.9396509681764752,-0.00205386490956397,-0.22556193227229532,-0.3364032728387857,0.7195219123505976,0.44451933660936893
2023-01-31,2024-01-31,252,flat,True,1.1947484462977438,1.1717828522932936,0.0017768634051264834,0.9916942702451046,0.0037973575883122257,0.4225975153844366,-0.3364032728387858,0.7211155378486056,0.5388289022929849
2023-03-02,2024-03-01,252,bull,True,1.2509308434375808,1.2281146500642695,0.0019190139974864324,1.0597497838310466,0.004812908696878569,0.529520223747213,-0.33640327283878585,0.7290836653386454,0.5805268014253755
2023-03-31,2024-04-02,252,bull,True,0.7850186375410761,0.7556377902854007,0.000590868183717705,0.4155378819067555,0.007422380603462723,0.8002427660912688,-0.33640327283878585,0.7338645418326692,0.23338450285057322
