,portfolio_return
2011-01-03,0.012411769792681805
2011-01-10,0.01707685474577664
2011-01-18,-0.002354156297132719
2011-01-25,0.012321559417913453
2011-02-01,0.005220426553523838
2011-02-08,0.011671525111083405
2011-02-15,0.004887352423419164
2011-02-23,0.01736411088184366
2011-03-02,-0.0019063192739105673
2011-03-09,0.0032071389374545524
2011-03-16,0.0002102520039625393
2011-03-23,0.013863636414015883
2011-03-30,0.0028493541159125184
2011-04-06,-0.00653444999923366
2011-04-13,0.0008949870395482211
2011-04-20,0.004408972721265316
2011-04-28,-0.003339234352210326
2011-05-05,0.005512823541838217
2011-05-12,-0.009691189938309475
2011-05-19,0.0067146712201830334
2011-05-26,0.005769818358543231
2011-06-03,0.0026464074483266917
2011-06-10,0.01755375382121117
2011-06-17,0.015027988233502937
2011-06-24,-0.0022985935053208974
2011-07-01,0.00529164732689249
2011-07-11,-0.0009839327746348405
2011-07-18,-0.006999041300298489
2011-07-25,-0.023537883398972562
2011-08-01,0.005056243614259421
2011-08-08,-0.03330722009587722
2011-08-15,-0.0005483126878805298
2011-08-22,0.01741694200195132
2011-08-29,0.005227243799773657
2011-09-06,-0.03310364503441737
2011-09-13,0.0014778283892726747
2011-09-20,-0.02024580860985446
2011-09-27,0.036867916422286366
2011-10-04,0.018958253637012267
2011-10-11,0.0024135119619104442
2011-10-18,-0.01674456271690988
2011-10-25,0.06458556734385827
2011-11-01,0.015200325239805308
2011-11-08,0.009625684768758438
2011-11-15,-0.01077893231854078
2011-11-22,-0.0065589349249520704
2011-11-30,0.015539082311559498
2011-12-07,0.028331548440254897
2011-12-14,0.025690520245923307
2011-12-21,0.005834212524777634
2011-12-29,0.022371368383941843
2012-01-06,0.04243578120433872
2012-01-13,0.0063741137750004725
2012-01-23,0.009506768091736235
2012-01-30,0.030788109281082755
2012-02-06,0.00334874845300998
2012-02-13,-0.003894137962577931
2012-02-21,0.01574200178856499
2012-02-28,-0.013788408140730308
2012-03-06,0.02073123949623304
2012-03-13,0.0059309150872647095
2012-03-20,-0.00420548360898347
2012-03-27,0.0015148667244887963
2012-04-03,-0.0042783865247367605
2012-04-11,0.01515110369993807
2012-04-18,0.0024880083910101183
2012-04-25,-0.007963761215924414
2012-05-02,-0.012801188415135993
2012-05-09,-0.002453651223713471
2012-05-16,-0.016555644050968845
2012-05-23,-0.004817046647925835
2012-05-31,0.010527017122228494
2012-06-07,0.23048647917304227
2012-06-14,0.23027284527328973
2012-06-21,0.27736975255777735
2012-06-28,0.41624091935509283
2012-07-06,-0.0013376005482544895
2012-07-13,0.003561693822241109
2012-07-20,-0.0021061565455883684
2012-07-27,-0.005071476783463169
2012-08-03,-0.0007043462940442762
2012-08-10,-0.00036849808704995696
2012-08-17,-0.007217578310578154
2012-08-24,0.00021079120350212194
2012-08-31,0.0004912320950306581
2012-09-10,-0.0069679874505699175
2012-09-17,0.000494109027133231
2012-09-24,0.009026598111781872
2012-10-01,0.014109553537357173
2012-10-08,0.010831748032708133
2012-10-15,0.002323913718814503
2012-10-22,0.002733551783998084
2012-10-31,-0.0143612261517478
2012-11-07,0.008520510634295948
2012-11-14,0.010743217939110695
2012-11-21,0.0011331150785277113
2012-11-29,0.014579836340618298
2012-12-06,-0.0069677943527139945
2012-12-13,0.015885784210465086
2012-12-20,0.008465996305526758
2012-12-28,0.017604149061981933
2013-01-07,0.010222583626472657
2013-01-14,0.0010892735240746586
2013-01-22,0.005678996837821826
2013-01-29,0.004745788992075687
2013-02-05,-0.0035811891670489743
2013-02-12,-0.008129082043591456
2013-02-20,0.004238255220717042
2013-02-27,0.0077722769450884535
