,portfolio_return
2023-01-03,-0.003394792868717202
2023-01-10,0.046054184364751546
2023-01-18,0.01101504321220721
2023-01-25,0.0044223042235907615
2023-02-01,-0.004801826938832983
2023-02-08,-0.005002634632130341
2023-02-15,0.013500136341511215
2023-02-23,0.00021241268684043773
2023-03-02,-0.0007614760764957556
2023-03-09,-0.030103592467303337
2023-03-16,0.001819516537436584
2023-03-23,0.019632222844233844
2023-03-30,-0.011287566567497536
2023-04-06,0.012122936902450263
2023-04-14,-0.0208984043038007
2023-04-21,-0.023802994293721
2023-04-28,-0.038346966923672655
2023-05-05,-0.01814506504653708
2023-05-12,-0.00843977844308734
2023-05-19,0.02213887170940702
2023-05-26,-0.026039307652343923
2023-06-05,0.035060388546182555
2023-06-12,-0.024801461580817776
2023-06-20,-0.009894362780860134
2023-06-27,0.015649486649511733
2023-07-05,0.017810110547671214
2023-07-12,-0.016371423900404084
2023-07-19,-0.005536243753069705
2023-07-26,0.011535997889988258
2023-08-02,0.0003031909668998403
2023-08-09,0.010359728405900053
2023-08-16,0.005909591147047167
2023-08-23,0.005986894179605384
2023-08-30,0.009531750896098144
2023-09-07,-0.005817283444389511
2023-09-14,-0.014369044588329457
2023-09-21,0.00012345130384366757
2023-09-28,-0.01445071660222711
2023-10-05,0.003224157883115602
2023-10-12,-0.008401815486372814
2023-10-19,-0.01279288076738255
2023-10-26,0.01399379965057233
2023-11-02,0.006068873389744185
2023-11-09,-0.00020952459692604136
2023-11-16,0.015618760761741124
2023-11-24,0.01105965378801756
2023-12-01,-0.01815236371895202
2023-12-08,0.005733458316795027
2023-12-15,0.044813515283596284
2023-12-22,0.012564762208139636
2024-01-02,0.05125577387028084
2024-01-09,-0.01538183580243643
2024-01-17,0.012825093551267288
2024-01-24,-0.013213363832576758
2024-01-31,-0.018161700316094386
2024-02-07,0.017669240753217165
2024-02-14,-0.014371099559182211
2024-02-22,-0.0028782071180193623
2024-02-29,0.0045370808955862655
2024-03-07,-0.014405784131086364
2024-03-14,-0.022302528477548943
2024-03-21,-0.002477547069586311
2024-03-28,-0.017703296584004456
2024-04-05,-0.004938727080327841
2024-04-12,-0.0041287831935795365
2024-04-19,0.012400091638149709
2024-04-26,-0.01299107996684678
2024-05-03,-0.007899096303655012
2024-05-10,0.016093157837555706
2024-05-17,-0.001610743071495649
2024-05-24,0.004471420051635701
2024-06-03,0.021564347221471318
2024-06-10,0.002295816255849774
2024-06-17,-0.005545347951235502
2024-06-25,0.012469129357686938
2024-07-02,-0.010714074956630118
2024-07-10,-0.0009737610658537015
2024-07-17,-0.001974907742783142
2024-07-24,0.04401081485656571
2024-07-31,-0.003905502083465164
2024-08-07,-0.01618750685066789
2024-08-14,3.0168493213281427e-05
2024-08-21,0.04228290592903611
2024-08-28,0.006189144257662827
2024-09-05,-0.0037423313885017475
2024-09-12,0.011052605883736355
2024-09-19,-0.015425246274392262
2024-09-26,0.0057659012109427185
2024-10-03,-0.0019138846969248735
2024-10-10,0.006259790608515259
2024-10-17,-0.010344208637067986
2024-10-24,0.014995393001075009
2024-10-31,0.01907735359347491
2024-11-07,0.0030172032972886494
2024-11-14,0.001729106763037478
2024-11-21,0.01778504803470118
2024-11-29,-0.014251727202657404
2024-12-06,-0.005770472100180785
2024-12-13,-0.010578896157142784
2024-12-20,0.0136580899385465
2024-12-30,-0.011234496545473309
2025-01-07,-0.026400236771700173
2025-01-15,0.014798814442387422
2025-01-23,0.013599397623453283
2025-01-30,0.0021010046546039067
2025-02-06,0.005364936232432594
2025-02-13,0.002404388997241496
2025-02-21,-0.021914773855263213
2025-02-28,-0.001177991521284981
2025-03-07,0.013925831539794032
2025-03-14,-0.0059322594576192815
2025-03-21,-0.0088982004194083
2025-03-28,0.0021534732523667477
2025-04-04,-0.01902591148024573
2025-04-11,0.010354079223214801
2025-04-21,0.046271282828995966
2025-04-28,0.008891572451937085
2025-05-05,0.00559632096154367
2025-05-12,-0.021530724025958337
2025-05-19,-0.035710385901005524
2025-05-27,0.017952291653619508
2025-06-03,-0.006032063651421352
2025-06-10,-0.004789840685318567
2025-06-17,0.0005626627479700536
2025-06-25,-0.00235450230501859
2025-07-02,-0.011453737079748711
2025-07-10,0.010942722551311884
2025-07-17,-0.006419851246134784
2025-07-24,-0.007948957356812322
2025-07-31,-7.641231279755449e-05
2025-08-07,0.0009825127314062184
2025-08-14,0.016026149068348358
2025-08-21,-0.007632548690706431
2025-08-28,-0.011637968640401484
2025-09-05,-0.01128145931267669
2025-09-12,0.007441625876839817
2025-09-19,-0.0062340641041075265
2025-09-26,0.0029105659478386252
2025-10-03,-0.00671928668806991
2025-10-10,0.011211556288205221
2025-10-17,0.0022939777006875024
2025-10-24,-0.00837185253384703
2025-10-31,-0.0013098544175709778
2025-11-07,0.004323587478030177
2025-11-14,0.0009623164958107785
2025-11-21,0.02438479233678682
2025-12-01,0.0018895186388532062
2025-12-08,0.026626417997747873
2025-12-15,0.006080955429644639
2025-12-22,0.019223922689236308
2025-12-30,-0.020830022077021396
2026-01-07,0.018996258720353824
2026-01-14,-0.007559831805172698
2026-01-22,-0.004255999278643534
