date,scored_count,portfolio_return,universe_median_return,ic,top_n_tickers,top_n_scores
2022-04-14,71,0.019638265904465265,0.02061984503874048,-0.015445457934614784,"RXRX,NRIX,IOVA,KRYS,VRNT","0.6000,0.4500,0.4000,0.4000,0.4000"
2022-04-18,86,-0.00170076596543604,-0.0013050275946699386,-0.16282442093943603,"COHR,CRNX,IMVT,INOD,PTGX","0.6000,0.5000,0.5000,0.4500,0.4000"
2022-04-19,87,-0.04635452830244508,-0.031231925968768004,-0.041236151733213426,"APLS,ARWR,CAMT,KYMR,TGTX","0.5000,0.5000,0.5000,0.5000,0.5000"
2022-04-20,87,-0.01270669700430754,-0.019193857965451144,0.028955910182683814,"ALNY,CAMT,TGTX,PTGX,IOVA","0.5500,0.5000,0.5000,0.4000,0.4000"
2022-04-21,87,-0.0032971527544267774,0.019535874970400213,0.09738921452910357,"ALNY,BELFB,ALKS,EDIT,IDYA","0.4000,0.3500,0.3500,0.3500,0.3500"
2022-04-22,87,-0.06465014157443648,-0.046715841236389166,-0.09227117149341985,"EDIT,RXRX,CRNX,CAMT,IDYA","0.5000,0.5000,0.5000,0.5000,0.5000"
2022-04-25,87,-0.0221814065388511,-0.006802721088435382,0.014827272538386494,"IDYA,RXRX,PEGA,EDIT,ALKS","0.6500,0.6500,0.5000,0.5000,0.5000"
2022-04-26,87,0.0174751772805025,0.0394121576486306,-0.19846530501121873,"VRNT,TGTX,TSHA,INVZ,CRNX","0.5000,0.4500,0.4500,0.3500,0.3500"
2022-04-27,87,-0.024961475262340806,-0.030701754385964897,-0.014482686567729124,"VRNT,TGTX,TSHA,CRNX,ALKS","0.6500,0.6000,0.6000,0.5000,0.5000"
2022-04-28,87,0.04657476539033358,0.038187159043222785,-0.1662011370933502,"QRVO,TGTX,PEGA,EDIT,VRNT","0.6500,0.6000,0.5000,0.5000,0.5000"
2022-04-29,87,0.004445636074210084,0.004265640682502347,-0.12930195800001312,"TGTX,PEGA,ALNY,INOD,EDIT","0.6000,0.6000,0.4000,0.4000,0.3500"
2022-05-02,87,0.016997808061038972,0.04078549848942625,-0.10143648557299495,"QRVO,SLAB,ATOM,ARWR,VOR","0.6500,0.6500,0.6500,0.6500,0.6500"
2022-05-03,87,-0.051492117712771825,-0.05044843049327341,-0.1565847110050774,"ALKS,TSHA,COHU,QRVO,ALGM","0.8000,0.6000,0.5000,0.5000,0.5000"
2022-05-04,87,-0.02720291319588307,-0.023850085178875546,-0.06019878083080248,"DIOD,MTSI,CRSP,UPST,PEGA","0.8500,0.7500,0.6500,0.6500,0.6500"
2022-05-05,87,-0.05102744145282509,-0.05546935608999226,-0.19717613779952733,"ALGM,COHR,MPWR,ICHR,UPST","0.6000,0.5500,0.5500,0.5000,0.5000"
