trial,alpha_ann,alpha_t,r_squared,sharpe
0,0.32054623202177873,1.2907540725296645,0.05904601425086753,0.5398041446208699
1,0.28683166992305603,1.112079648581292,0.04498301614686828,0.5033835080532333
2,0.5261234901230752,1.9858576959285168,0.0564822940012738,0.8258137475250725
3,0.45169372765018745,1.8206870428057593,0.03638042619521242,0.722209752821907
4,0.4586412180040038,1.7395684401103548,0.06665766653869276,0.7426863597498
5,0.5191399737103616,1.977611533825037,0.05474194325151749,0.8430366702023119
6,0.32565971246242503,1.2917851320726002,0.053141919481157984,0.5211501229984241
7,0.33794017712259805,1.3975680053468578,0.03730029994423323,0.5968156312713889
8,0.4119294798619471,1.5203015662666448,0.0496880210028503,0.6482412028941199
9,0.4363849933090664,1.526180503762124,0.09661922642253862,0.7158918732691005
10,0.5203056985997206,2.06839125537876,0.051233057350981936,0.8237967761321939
11,0.42660343355503166,1.561873778069295,0.06186126277693149,0.6907426731899611
12,0.48339257114823897,1.9347413891644598,0.03859427455298914,0.7952699330844047
13,0.36218765462716157,1.3737544904971795,0.033630275816575406,0.5817346812938218
14,0.3292100331171714,1.317167498400364,0.03187066690720919,0.5486291925859261
15,0.40252443010837097,1.5660831830782487,0.036557946678270614,0.6492292437725389
16,0.37712079734506715,1.526556559896548,0.06295364064741071,0.6470524318315227
17,0.4715083534573321,1.8517475064410516,0.029835031123654487,0.7712951439918597
18,0.4277555501295477,1.632220728462618,0.04534141899905186,0.68643601701493
19,0.48839663122733673,1.8720612326453283,0.0437226215492017,0.8213911021449802
20,0.43060311642302607,1.7366233870275767,0.04010994524309952,0.688842150602149
21,0.4073245465899711,1.6469156987691724,0.05293901163767423,0.6511222486819936
22,0.38230987277685485,1.5541079713457566,0.03810971020311393,0.6041349705018855
23,0.3344979250871999,1.2933894046953347,0.050714942586827405,0.5501110057612785
24,0.3651584627444631,1.489733246434953,0.04757752471065524,0.6045458409613664
25,0.40509527173337667,1.5177847062716512,0.03631192668465355,0.6453175058408861
26,0.497017369680655,1.854914188419724,0.040963634126719994,0.7462918941384088
27,0.42407075855996385,1.7104637083772176,0.036352708237844755,0.7109230015535908
28,0.4736900511204849,1.8789629898895441,0.0401293615875592,0.7618306548733477
29,0.320264357772758,1.340643116003839,0.04142243978225835,0.5601892078350583
30,0.4732322221441893,1.7768079068719882,0.03402263255092941,0.7505233896463062
31,0.35014063106952215,1.4455991849043097,0.02531272747580715,0.5960233275322777
32,0.4344526655084959,1.5878869831796076,0.030817412932202304,0.6491295580143703
33,0.43502057350411905,1.7648271880554487,0.03542423884593271,0.7191831987117724
34,0.4326941756771509,1.7190611039746464,0.029602933074725724,0.7023262025839222
35,0.4865212932825307,1.896536293346934,0.050576362397028896,0.7820765861004848
36,0.3624992463940224,1.5643697097012943,0.023247843252409806,0.5853641044406813
37,0.4452153431200988,1.632808380069193,0.05098516724402535,0.7069760025601401
38,0.41335075158246953,1.6847170061454648,0.026870767318767474,0.6796427556956038
39,0.2920908812866818,1.1462530835015934,0.057964027919822914,0.4971985829530117
40,0.31726587243759835,1.1997775480872177,0.023374301370629902,0.47618994457147723
41,0.550908447379331,2.0610677621392397,0.047032899753356006,0.8534631932402357
42,0.4379755406488765,1.6947120385265582,0.044330621610654486,0.7123479401311126
43,0.3717059150542064,1.4867512478179816,0.030568784728091325,0.5926887730021005
44,0.32999406154308225,1.2906714139945805,0.03369152240731921,0.5283853176629272
45,0.3634002017447349,1.4118176902118853,0.020062341859376276,0.568158891836891
46,0.3164356827482656,1.28527533886232,0.042640194638300044,0.5174658691971077
47,0.3208476264031222,1.2025798889026897,0.037460972202196685,0.5019210116830684
48,0.5173048183701304,2.028340641719083,0.04206982467184639,0.7774384778772631
49,0.3657466470542589,1.36482470322848,0.027339409084871535,0.5622361724172085
50,0.36487795084502783,1.4342644968584672,0.03333690181881832,0.5569358032499646
51,0.4267848374951398,1.6322958252811313,0.03188000825126547,0.6904600739457074
52,0.4602008667645276,1.8010752219166757,0.05169273099331906,0.755776600533118
53,0.43619136661165775,1.7539273679523237,0.03686133407570846,0.7261525349643566
54,0.3837728761938646,1.4146098116510208,0.033231133127936685,0.6115144684144296
55,0.3429746411295004,1.3870971153229974,0.05091826610532513,0.6036413993629046
56,0.3479256754653334,1.3861803645699318,0.045482078776282964,0.5857496600487501
57,0.42224670486058075,1.576599761631095,0.03512053621335487,0.6762653077094563
58,0.39360025822274863,1.5069738847312044,0.03236071426562925,0.6645603724933153
59,0.4594522206287357,1.751158650041365,0.035353886211950014,0.7334886679658272
60,0.37743037821811065,1.4752952517658768,0.05131851736321258,0.6246666153811203
61,0.3684036950433186,1.4389354591516703,0.04066160371197214,0.6105315771108394
62,0.4955746252314599,1.8997147722803125,0.0500275680939225,0.8137687614605194
