asof,arrival_session,arrival_open_utc,brief_rows,meta_rows,first_brief_generated_utc,last_brief_generated_utc,meta_json_mtime_utc,brief_parquet_mtime_utc,candidates_parquet_mtime_utc,brief_tickers_equal_candidates,published_after_open
2026-05-19,2026-05-20,2026-05-20T13:30:00Z,8,8,2026-05-20T17:20:27Z,2026-05-20T17:21:22Z,2026-05-20T17:21:22Z,2026-05-20T17:21:22Z,2026-05-20T17:13:10Z,1,1
2026-05-20,2026-05-21,2026-05-21T13:30:00Z,7,7,2026-05-21T10:30:20Z,2026-05-21T10:31:33Z,2026-05-21T10:31:33Z,2026-05-21T10:31:33Z,2026-05-21T10:28:51Z,1,0
2026-05-21,2026-05-22,2026-05-22T13:30:00Z,13,13,2026-05-22T09:39:00Z,2026-05-22T09:42:20Z,2026-05-22T09:42:20Z,2026-05-27T09:12:17Z,2026-05-22T09:31:35Z,1,0
2026-05-22,2026-05-26,2026-05-26T13:30:00Z,12,12,2026-05-23T07:06:54Z,2026-05-23T07:10:15Z,2026-05-23T07:10:15Z,2026-05-27T09:12:17Z,2026-05-23T07:00:34Z,1,0
2026-05-23,2026-05-26,2026-05-26T13:30:00Z,8,8,2026-05-24T07:02:39Z,2026-05-24T07:03:48Z,2026-05-24T07:03:48Z,2026-05-27T09:12:17Z,2026-05-24T06:57:06Z,1,0
