trial,alpha_ann,alpha_t,r_squared,sharpe
0,0.18134742883667435,0.586748568441136,0.0023799876548658006,0.5328285842684783
1,0.13299873783650762,0.41924513336606944,0.003194544807312849,0.4810849805876306
2,0.07736578866704895,0.2269360210971633,0.008719776247185673,0.24931631684830816
3,0.11659467882024345,0.34385926311942333,0.006699613682914385,0.4293414337898258
4,0.0004174372121255037,0.0013043137688270134,0.007037117760127387,0.16910783940073754
5,0.32590146834370115,1.1138709090029797,0.00665198844089987,0.7125978744430675
6,0.3442212071942077,1.1404173238254902,0.003509896506286525,0.7610822500238289
7,-0.02203243388980299,-0.07148958330582678,0.004598480722973086,0.12674363095102328
8,0.28927976777516934,0.8469431849173725,0.005280014458981852,0.6342737718175747
9,-0.03888534491984241,-0.11710611875098018,0.0033041033011765863,0.07788457502910534
10,0.05757038505284244,0.17590860844414144,0.007690859506179981,0.36048151864908695
11,0.18473534528598612,0.5702747297616944,0.004537050882642446,0.39703501500330274
12,0.2647435137298874,0.8304061535988886,0.0052135934587759225,0.5702904240561112
13,0.19459503844922413,0.6020067382462339,0.014641712798980078,0.5150644922525494
14,0.1880017864957456,0.5772200134292887,0.005088366163392588,0.5243942324928689
15,0.07673284655439687,0.2221032276259463,0.0070549947621628695,0.28725474643433263
16,0.0911010779858074,0.2926763625698411,0.0036280526927295886,0.3535724137287989
17,0.016189680364345323,0.05134019660539906,0.00477265614575062,0.21465308323310744
18,0.19942004077158243,0.6568911334669086,0.003896787636170962,0.5234183303055898
19,0.1419862889488644,0.44445042441689186,0.005868408230593647,0.4194281148685508
20,-0.021680428759917172,-0.06707292646750115,0.008753672721293015,0.15761920084382214
21,0.013711637868319677,0.046589382238452756,0.007404803185194542,0.20311886198284715
22,0.18663425267046874,0.5277550540523199,0.004395712082502001,0.4460351601135022
23,0.1525721486057028,0.49039924836758747,0.005710753399343571,0.4192827427122449
24,0.20406464555545034,0.5990044938462354,0.004716000873807635,0.4876240203506449
25,0.18236319462894873,0.5706892599385178,0.005250444222478778,0.5118254325784772
26,0.11669134962428006,0.3810664516691856,0.00929669729047522,0.3686515335228879
27,0.1345017227995829,0.4464371049326274,0.0018400284802629896,0.3596264532615134
28,0.25730756717013553,0.7929500881315387,0.007505465325435723,0.5574197264748508
29,0.1489958583756703,0.45471382169138486,0.005762275372983572,0.36906487621666617
30,0.14509913897624208,0.43216437792366685,0.005752108616949192,0.44313552554366836
31,0.10321952919406806,0.31030888173564614,0.003893066249603616,0.32116454240305636
32,0.3442613728160324,1.146510824929597,0.009915272816412024,0.6538384321148581
33,0.13297062544210939,0.44883171854403614,0.009372928095979005,0.4435417989702538
34,0.09646384392040544,0.2868818972110765,0.014180479623996933,0.4060409608575958
35,0.054220921666836674,0.1723344052204759,0.010629996876529324,0.2925055247929265
36,0.06577143565010408,0.20357026079512355,0.008363724157489316,0.3145095168854624
37,0.1300027275794866,0.3925980340384213,0.010096948411022932,0.5001588214081271
38,0.1424789934053394,0.4124161069649756,0.00708053788723273,0.4648356443081176
39,0.23105983271655775,0.7380515947540708,0.005830253450482603,0.5604150757477497
40,0.13864963716279188,0.4276986140247029,0.004638484257729059,0.4663616619005026
41,0.030127437972371506,0.0930966439431304,0.008548716051243188,0.28830962624916745
42,0.05853513808275887,0.17912246578322794,0.0058845819161549295,0.2641909400865979
43,0.14576765726872812,0.4580496059107408,0.013880063408435284,0.4863155334313081
44,-0.008583213724498925,-0.027482375930823942,0.009406796130860928,0.1815609454788521
45,0.06362688814910893,0.1865225026592709,0.0055747974061761685,0.30186774865850946
46,0.11637966028954874,0.3617649546766389,0.005222418394531303,0.37358687972423105
47,0.1354604011077778,0.4353454860655835,0.008033696068310392,0.4211257548518777
48,0.119167413921206,0.3900368830714163,0.009624556274187457,0.37044410592649885
49,0.09609518971472963,0.28980160483231354,0.003213536642133752,0.3101005582552608
50,0.11068034928730647,0.3522365663946032,0.00795029616296028,0.41272998436577407
51,0.08241402660614718,0.25277714335406626,0.004620117777537125,0.3157174151784189
52,0.06909842732137185,0.2073025886482645,0.002577846389257843,0.23651424328752485
53,0.16655122191638527,0.5108729911288374,0.006928416242377944,0.45882383408983535
54,0.04164753083678882,0.12497452045577843,0.00577507397875765,0.2177764744839344
55,0.002742625321445854,0.008528066217055765,0.0053687737893246545,0.20771143734221217
56,-0.061975117141867236,-0.18463085368917842,0.01052548135448772,0.11210555151306034
57,0.14119624016846388,0.4375840122396479,0.0019939196874689813,0.5129074333358783
58,0.0036714139580598516,0.011249548462386832,0.004948970996659141,0.2049584444355228
59,-0.10701114659880727,-0.3306528583801304,0.00708245787361883,0.01965981681597024
60,0.12357928618034766,0.3828174864527832,0.0018864767122035442,0.37633160514181835
61,0.1852526451886678,0.5786558632352583,0.004009743803533472,0.4430773524332546
62,0.16511573596452883,0.5225863452459091,0.011232156511573943,0.46929826408126246
63,0.23575917006357697,0.7643366999111689,0.005825591678003894,0.5944054230491626
64,0.1196432589626848,0.3622981378627143,0.003574236260665997,0.3764783317100975
65,0.2079195910489884,0.6762812971995528,0.005372662974493014,0.535310335327818
66,0.17158916843337577,0.5124077963258656,0.004010705658956115,0.468385169522863
67,0.25691764175845166,0.8220503885347257,0.008960396408240978,0.6688326340057825
68,0.10476170104640592,0.3442951929648637,0.00650915245500705,0.39943348796256256
69,0.022109243316718073,0.06971284288628474,0.0027746005382112138,0.1393657754813647
70,0.13772206705502088,0.4243407923363486,0.005227947408725231,0.35795898475919613
